year,Total,Average of Min Player Age,Average of Min Players,Average of Max Players,Average of Min Playtime,Average of Max Playtime,Average User Score,Average Complexity Rating,Average Number of Designers,Average Number of Artists,Average Number of Publishers,Average Number of Honors,Average Count of Categories,Average Count of Mechanics,Average Count of Expansions,Average Count of Versions,Mechanic - Dice Rolling,Mechanic - Hand Management,Mechanic - Set Collection,Mechanic - Card Drafting,Mechanic - Tile Placement,Mechanic - Area Majority,Mechanic - Cooperative,Mechanic - Variable Player Powers
1993,218,9.34,2.1,5.7,110,118,4.83,1.98,1.29,3.21,1.99,0.31,2.41,1.7,0.93,2.87,51,14,13,6,10,5,6,14
1994,220,9.45,2.1,6.3,104,142,4.59,2,1.29,1.34,2.24,0.31,2.49,1.62,0.51,3.15,39,19,10,3,16,7,9,18
1995,267,9.23,2.1,5.8,91,96,4.52,2.01,1.39,2.6,1.99,0.34,2.47,1.62,0.87,2.77,43,26,16,9,12,6,8,18
1996,273,9.39,2.3,6,79,91,4.41,1.81,1.37,1.6,1.89,0.31,2.41,1.64,0.99,2.64,39,30,23,14,18,6,4,13
1997,276,9.26,2.2,5.5,74,77,4.72,1.93,1.36,1.7,2.29,0.3,2.43,1.69,0.59,3.21,41,33,28,5,18,10,7,21
1998,319,9.5,2.2,5.1,71,73,4.38,1.83,1.34,1.31,1.95,0.26,2.32,1.59,0.31,2.37,42,39,35,15,19,10,7,19
1999,357,9.43,2.3,5.9,72,84,4.47,1.8,1.28,1.12,2.19,0.35,2.31,1.61,0.4,2.96,44,42,36,8,26,14,,19
2000,396,9.49,2.2,6,69,71,4.34,1.8,1.32,1.02,2.02,0.4,2.55,1.74,0.62,2.82,57,47,56,12,25,15,14,29
2001,421,9.44,2.2,4.8,81,82,4.1,1.73,1.29,0.89,1.93,0.36,2.68,1.74,0.67,2.3,48,49,59,14,44,18,13,29
2002,417,9.22,2.2,5.2,64,68,4.61,1.74,1.24,1.01,2.04,0.46,2.71,1.93,1.34,2.6,63,60,44,17,46,14,13,39
2003,403,9.43,2.1,4.7,67,74,5.57,1.89,1.39,1.25,2.24,0.57,2.75,2.04,0.49,2.82,89,76,47,25,38,16,8,33
2004,483,9.42,2.1,5.1,66,78,5.67,1.96,1.34,1.53,2.3,0.69,2.61,2.1,1.11,3.02,114,88,53,29,36,27,11,50
2005,537,9.51,2.1,5.1,70,73,5.67,1.94,1.38,1.35,2.24,0.7,2.71,2.11,1.05,2.94,121,89,65,37,43,28,11,35
2006,499,9.22,2.1,7.6,64,72,5.66,1.98,1.36,1.14,2.1,0.75,2.58,2.02,1.04,2.6,106,91,50,38,50,27,4,43
2007,515,8.23,2.2,7.2,64,124,5.7,1.92,1.36,1.17,2.46,0.89,2.76,2.18,1.17,2.98,125,88,73,48,40,41,10,45
2008,561,7.17,2.1,5.7,58,80,5.71,1.96,1.34,1.47,2.27,0.94,2.59,2.27,1.36,3.18,151,109,79,38,52,48,18,37
2009,609,8.89,2.1,5.8,56,64,5.73,1.94,1.38,1.44,2.32,0.88,2.71,2.39,1.12,3.1,162,134,84,51,67,47,22,53
2010,670,9.31,2,5,61,68,5.73,2.02,1.33,1.57,2.21,0.75,2.54,2.46,1.22,2.89,172,153,92,62,67,46,30,59
2011,707,9.11,2.1,5.6,62,74,5.75,1.96,1.27,1.79,2.33,0.74,2.62,2.5,1.83,2.88,209,179,95,80,64,63,26,72
2012,787,9.51,2.1,5.3,60,72,5.76,1.97,1.3,1.69,2.42,0.7,2.74,2.57,2.07,2.97,226,226,97,87,66,84,38,91
2013,815,9.82,2.1,6.1,70,81,5.74,1.96,1.29,1.53,2.17,0.45,2.65,2.68,1.95,2.6,204,218,107,83,59,86,63,114
2014,941,9.64,2,5.5,46,76,5.75,1.93,1.33,1.63,2.34,0.49,2.66,2.73,2.22,2.79,244,304,134,121,79,93,65,120
2015,1080,9.95,2,6.7,43,74,5.77,1.94,1.34,1.35,2.36,0.43,2.68,2.83,2.08,2.82,270,294,182,145,73,115,107,182
2016,1175,10.18,2,6.3,36,71,5.76,1.89,1.35,1.42,2.31,0.38,2.66,2.81,1.66,2.68,275,342,187,139,82,118,125,168
2017,1173,10.28,2,5.3,41,80,5.78,1.98,1.39,1.4,2.33,0.4,2.67,3.02,1.35,2.72,289,342,224,158,102,135,173,191
2018,1101,10.21,1.9,5.6,38,176,5.76,1.95,1.46,1.4,2.17,0.29,2.66,3.06,1.3,2.51,280,281,206,155,116,136,159,202
2019,821,10.78,1.8,5,41,82,5.72,2.05,1.48,1.5,1.84,0.02,2.52,3.18,0.93,2.12,213,230,146,110,93,84,155,158
