objectid,name,year
2898,Collect,1972
3747,Cooks Tours  European Travel Game,1972
4628,Ice Cube,1972
5037,The Wine Game,1972
5159,3 Up,1972
361,Hare & Tortoise,1973
715,Escape from Colditz,1973
1645,War of 1812,1973
908,Tally Ho!,1973
697,Conspiracy,1973
5243,Montage,1973
3226,Bowl Bound,1973
4454,Statis Pro Football,1973
507,Cartel,1973
1380,Jockey,1973
3637,Triplanetary  The Classic Game of Space Combat,1973
4657,Replay Baseball,1973
9855,Strat-O-Matic Pro Basketball,1973
5035,PanzerArmee Afrika,1973
2995,Sniper! (first edition),1973
1709,Trireme,1973
34450,Bluff,1973
5277,Overlord,1973
5241,Sinai,1973
5182,The African Campaign,1973
6942,Drang Nach Osten!,1973
7609,Hue,1973
11514,Musket & Pike,1973
8258,Solomons Campaign (first edition),1973
1551,Sub Search,1973
3459,Major Battles and Campaigns of General George S. Patton,1973
7941,NATO  Operational Combat in Europe in the 1970's,1973
1721,Business Strategy,1973
3024,Realm,1973
8703,The Ardennes Offensive  The Battle of the Bulge,1973
1916,Shuttles,1973
512,Holiday!,1973
8046,Battle Manual for ALIEN SPACE,1973
8326,The Fall of Rome,1973
20204,Drunter und Dr\u00fcber,1973
3815,World War II  European Theater of Operations,1973
6706,Xerxes,1973
8755,Destruction of Army Group Center,1973
5619,The Fastest Gun,1973
4237,El Alamein,1973
7060,NORAD,1973
11494,The Battles of Bull Run,1973
3814,Desert War  Tactical Warfare in North Africa,1973
11215,Numeri,1973
10008,Rifle & Saber  Tactical Combat 1850-1900,1973
3091,The Great Game of Britain Steam Trains,1973
2701,Schuss und Tor,1973
3571,Spitfire,1973
2103,Project KGB  The Double Agent,1973
4903,Columbo Detective Game,1973
7344,Challenge Golf at Pebble Beach,1973
3682,Go For The Green,1973
2102,Project KGB  The Secret Formula,1973
7051,Kampfpanzer,1973
10345,Safari Round Up,1973
3919,Chute-5,1973
11393,Tummy Ache,1973
7746,Mountaineering,1973
7463,'CA' Tactical Naval Warfare in the Pacific,1973
9603,The Emergency! Game,1973
1989,The Peter Principle Game,1973
4242,Foxbat & Phantom,1973
4902,The Price Is Right,1973
1958,The Game of Nations,1973
1436,Billionaire,1973
5959,Scrimmage,1973
6283,The Ungame,1973
5588,Time Shock!,1973
1931,Anti-Monopoly,1973
664,Shift,1973
2035,The Joker's Wild,1973
2528,Good Guys 'n Bad Guys,1973
2691,Lancer,1973
2900,Philately,1973
2967,Middleman,1973
3350,Schaska,1973
3770,Caramba,1973
3798,Golfwinks,1973
4159,Prime Time,1973
4283,Forma,1973
4414,Empire 1,1973
4521,K-Tel Superstar Game  The Original Rock 'n Roll Music Game,1973
4664,Challenge Bridge,1973
4776,The Game of Blast,1973
5080,Rrib-Bit,1973
5095,The Goldilocks and the Three Bears Game,1973
237,Wooden Ships & Iron Men,1974
1662,Napoleon  The Waterloo Campaign,1974
2808,The Russian Campaign,1974
1563,Rise and Decline of the Third Reich,1974
987,Kingmaker,1974
147,Crude  The Oil Game,1974
2639,Panzer Leader,1974
3312,1776,1974
3383,Mah\u00e9,1974
1823,1829,1974
67,Conquest +,1974
7662,Bar-Lev  The Yom-Kippur War of 1973,1974
8782,Narvik,1974
2884,Pathfinder,1974
2608,King Oil,1974
2524,StarForce 'Alpha Centauri'  Interstellar Conflict in the 25th Century \u2013 Designer's Edition,1974
24225,Boxcars,1974
7955,Seel\u00f6we,1974
19505,Catchphrase,1974
3576,Operation Olympic,1974
6946,Wolfpack,1974
13978,War in the East  (First Edition),1974
8037,Patrol!  Man-to-Man Combat in the 20th Century,1974
8724,Torgau,1974
13800,Cambrai,1974
5618,Sports Action Canadian Pro Football,1974
5107,Pyramid  Home Game,1974
2395,Thoughtwave,1974
1000,Corona,1974
3979,Wabanti,1974
2341,Confrontation,1974
5778,Chancellorsville (second edition),1974
2319,Trade,1974
6507,Major Campaigns of General Douglas MacArthur,1974
2207,Land Grab,1974
10946,The American Civil War,1974
12743,The Battle of Helm's Deep,1974
5862,Frigate,1974
3552,Infinity,1974
1133,Organized Crime,1974
12062,Pro Draft,1974
10472,The East is Red  The Sino Soviet War,1974
1996,Face Off,1974
3417,Trimatics,1974
2645,Prize Property,1974
3664,Grand Mastermind,1974
10154,Treasure of the Pharaohs,1974
5435,Le P\u00e9trole de la mer du Nord,1974
2545,Contigo,1974
2315,Saratoga  1777,1974
13106,Dad's Army,1974
4119,Challenge Yahtzee,1974
10593,Hepta,1974
9929,Touch and Go,1974
5304,Basketball Strategy,1974
